"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CDCDirector: Vaccine effectiveness against this season’s dominant H3N2 #flu viruses was about 25%. However, the vaccine was better at p…",FALSE,0,NA,2018-03-10 01:32:42,FALSE,NA,"972284077058543617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vjsmith8",55,TRUE,FALSE,NA,NA
"2","RT @TexasDSHS: #Flu activity continues to decrease across the state of Texas. It appears to have peaked in late January. Looking for the la…",FALSE,0,NA,2018-03-10 01:31:28,FALSE,NA,"972283764960264192",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Dickinson_EMS",2,TRUE,FALSE,NA,NA
"3","RT @JanssenGlobal: There is a clear need to find new ways to limit #influenza outbreaks. #FightFlu. Learn more about #Janssen’s aim to deve…",FALSE,0,NA,2018-03-10 01:27:32,FALSE,NA,"972282774697730048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","USAGodBless13",26,TRUE,FALSE,NA,NA
"4","RT @EmoryMedicine: This Tuesday (3/13) - ""A Conversation with the Nation's Chief Flu Fighter"" -- Daniel Jernigan, Director of the Influenza…",FALSE,0,NA,2018-03-10 01:24:13,FALSE,NA,"972281940362645507",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Armstrws",2,TRUE,FALSE,NA,NA
"5","RT @KPbewelldoc: ☀️#Influenza B is still hitting hard especially #school-age #kids.
Keep them at home till 24 hrs after they no longer have…",FALSE,0,NA,2018-03-10 01:21:42,FALSE,NA,"972281308880822275",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoyMimi9",34,TRUE,FALSE,NA,NA
"6","RT @epaultaylor: We have been thinking about the #flushot all wrong: It may not always prevent illness, but it will reduce risk of death. B…",FALSE,0,NA,2018-03-10 01:00:02,FALSE,NA,"972275853471121408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","s_scale",3,TRUE,FALSE,NA,NA
"7","RT @JanssenGlobal: There is a clear need to find new ways to limit #influenza outbreaks. #FightFlu. Learn more about #Janssen’s aim to deve…",FALSE,0,NA,2018-03-10 00:55:48,FALSE,NA,"972274791666331648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rpennington9",26,TRUE,FALSE,NA,NA
"8","RT @JanssenGlobal: There is a clear need to find new ways to limit #influenza outbreaks. #FightFlu. Learn more about #Janssen’s aim to deve…",FALSE,0,NA,2018-03-10 00:43:56,FALSE,NA,"972271801941151744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmazeGoody",26,TRUE,FALSE,NA,NA
"9","RT @JanssenGlobal: There is a clear need to find new ways to limit #influenza outbreaks. #FightFlu. Learn more about #Janssen’s aim to deve…",FALSE,0,NA,2018-03-10 00:42:14,FALSE,NA,"972271374759809024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dbleekjour2",26,TRUE,FALSE,NA,NA
"10","ICYMI: Officials urge pharma to drop egg-based flu vaccine, invest in new technologies https://t.co/jxWJL4YuEN… https://t.co/V9vZSJr7Io",FALSE,2,NA,2018-03-10 00:13:09,TRUE,NA,"972264057070907393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
